"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"61","61","8","control","0","34","5","15","3","3","1","0","3","7","0","0","0","1","5","0","1","0","0","0","0"
"62","62","8","control","0","27","5","11","2","6","5","0","0","5","0","0","0","1","0","0","0","0","0","0","0"
"63","63","8","control","0","30","5","14","4","8","4","0","2","12","0","0","0","0","0","0","2","0","0","0","0"
"64","64","8","control","0","26","6","15","3","4","1","0","1","6","0","0","0","1","0","0","7","0","0","0","0"
"65","65","8","control","0","25","9","8","0","2","1","0","2","2","0","0","0","1","0","0","5","0","0","0","0"
"66","66","8","control","0","29","6","13","0","2","2","0","2","9","0","0","0","0","0","0","7","0","0","0","0"
"67","67","8","control","0","20","5","20","3","2","0","0","4","10","0","0","0","2","0","0","3","0","0","0","0"
"68","68","8","control","0","18","3","14","1","0","3","0","2","3","0","0","0","1","2","0","2","0","0","0","0"
"69","69","8","control","0","14","8","16","3","1","4","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
"70","70","8","control","0","16","5","5","4","0","5","0","0","0","0","0","0","0","3","0","1","0","0","0","0"
"71","71","8","control","0","17","5","10","6","0","4","0","0","3","0","0","0","0","3","0","0","0","0","0","0"
"72","72","8","control","0","20","11","18","9","0","2","0","0","3","0","0","0","0","2","0","0","0","0","0","0"
"73","73","8","control","0","23","7","14","4","1","8","0","0","2","0","0","0","0","0","0","1","0","0","0","0"
"74","74","8","control","0","21","9","17","3","1","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"75","75","8","control","0","17","5","13","4","3","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"76","76","8","control","0","17","5","9","0","2","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"77","77","8","control","0","14","6","9","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"78","78","8","control","0","8","2","10","2","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0"
"79","79","8","control","0","13","4","3","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","80","8","control","0","17","6","1","4","3","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"81","81","8","control","0","14","4","3","4","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","82","8","control","0","11","4","0","4","2","4","0","1","0","1","0","0","0","1","0","0","0","0","0","0"
"83","83","8","control","0","23","4","3","3","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"84","84","8","control","0","29","8","3","2","3","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"85","85","8","control","0","18","6","1","0","3","3","0","2","0","0","0","0","1","0","0","0","0","0","0","0"
